"location","latitude","longitude","year","BY150m","BY300m","FY150m","FY300m","FY500m","H150m","H300m","H500m","disturbance_year","treatment","num_trs","severity"
"MPB-B10-32",49.485999,-114.491486,2024,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B10-33",49.4832035,-114.491209,2024,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B10-35",49.474786,-114.48026,2024,NA,1982,NA,NA,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-36",49.48009,-114.48991,2024,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B10-37",49.472876,-114.483408,2024,NA,1982,NA,NA,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-715",49.4881405,-114.48521,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B10-716",49.4900515,-114.4817895,2024,1982,1982,NA,NA,2003,NA,NA,NA,2003,"burn",1,1
"MPB-B10-717",49.4935285,-114.4848895,2024,1982,1982,NA,NA,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-718",49.485621,-114.481766,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B10-719",49.4831645,-114.479695,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B10-720",49.4791665,-114.4763695,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B5-73",49.07523,-113.979704,2024,NA,1982,NA,2017,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-B5-74",49.077067,-113.976311,2024,NA,1982,NA,NA,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-H10-01",49.073129,-113.64673,2024,NA,1984,NA,NA,NA,1993,1993,1993,1993,"harvest",NA,NA
"MPB-H10-101",49.4439895,-114.420109,2024,1982,1982,NA,2003,2003,NA,NA,1998,2003,"burn",NA,NA
"MPB-H10-102",49.446341,-114.4177455,2024,1989,1989,NA,2003,2003,NA,1998,1998,2003,"burn",2,1
"MPB-H10-107",49.471144,-114.479379,2024,NA,1982,2003,2003,2003,NA,NA,1996,2003,"burn",NA,NA
"MPB-H10-120",49.568117,-114.477203,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-H10-125",49.565374,-114.47806,2024,1982,1982,NA,NA,2003,NA,NA,2004,2004,"harvest",NA,NA
"MPB-H10-18",49.022808,-113.608323,2024,NA,1984,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-H10-20",49.01866,-113.609517,2024,NA,1984,NA,NA,2003,NA,NA,2004,2004,"harvest",NA,NA
"MPB-H10-21",49.015556,-113.612701,2024,NA,1984,NA,NA,2003,NA,NA,2004,2004,"harvest",NA,NA
"MPB-H10-23",49.012661,-113.61979,2024,NA,1984,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-H10-24",49.014965,-113.617561,2024,NA,1980,NA,2003,2003,NA,2004,2004,2004,"harvest",NA,NA
"MPB-H10-24",49.000097,-113.645003,2024,NA,1984,NA,NA,2003,NA,NA,2004,2004,"harvest",NA,NA
"MPB-H10-25",49.002168,-113.6420175,2024,NA,1984,NA,NA,NA,NA,NA,NA,1984,"standing",NA,NA
"MPB-H10-27",49.00131,-113.636304,2024,NA,1984,NA,NA,2003,NA,NA,2004,2004,"harvest",NA,NA
"MPB-H10-28",49.00626,-113.624816,2024,1980,1980,2003,2003,2003,NA,2004,2004,2004,"harvest",NA,NA
"MPB-H10-29",49.003699,-113.631847,2024,1980,1980,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-H10-30",49.006416,-113.630058,2024,1980,1981,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-H10-31",49.009106,-113.628014,2024,1980,1981,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-H10-32",49.01227,-113.624473,2024,NA,1984,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-H10-33",49.012987,-113.631566,2024,1981,1981,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-H10-34",49.008324,-113.63312,2024,1981,1981,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-H10-35",49.0125845,-113.6358815,2024,1981,1981,2003,2003,2003,2004,2004,2004,2004,"harvest",4,1
"MPB-H10-36",49.010466,-113.639947,2024,1981,1981,2003,2003,2003,2004,2005,2005,2005,"harvest",2,1
"MPB-H10-37",49.0086715,-113.642868,2024,1981,1981,2003,2003,2003,2005,2005,2005,2005,"harvest",1,1
"MPB-H10-38",49.006708,-113.6392195,2024,NA,1981,2003,2003,2003,2004,2004,2005,2005,"harvest",NA,NA
"MPB-H10-39",49.0071285,-113.648443,2024,NA,1981,2003,2003,2003,2004,2004,2005,2005,"harvest",1,1
"MPB-H10-40",49.0045695,-113.646702,2024,NA,1981,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-H10-721",49.561383,-114.472733,2024,1982,1982,2003,2003,2003,2005,2005,2005,2005,"harvest",NA,NA
"MPB-H10-722",49.561353,-114.472725,2024,1982,1982,2003,2003,2003,2005,2005,2005,2005,"harvest",NA,NA
"MPB-H10-723",49.5822555,-114.4433415,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-H10-724",49.585062,-114.443875,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-H10-999",49.022517,-113.621543,2024,1980,1980,NA,2003,2003,NA,2004,2004,2004,"harvest",8,1
"MPB-S10-01",49.061122,-113.629881,2024,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",5,1
"MPB-S10-02",49.067053,-113.628437,2024,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",1,1
"MPB-S10-04",49.065693,-113.622916,2024,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",1,1
"MPB-S10-05",49.061221,-113.619418,2024,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",201,5
"MPB-S10-11",49.058081,-113.629891,2024,1980,1980,NA,NA,NA,NA,1996,1997,1997,"harvest",13,1
"MPB-S10-12",49.063969,-113.628687,2024,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",2,1
"MPB-S10-141",49.374357,-114.328214,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",13,1
"MPB-S10-142",49.377563,-114.326907,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",8,1
"MPB-S10-159",49.335439,-114.330025,2024,1979,1979,NA,NA,NA,NA,NA,NA,1979,"standing",12,1
"MPB-S10-160",49.3383,-114.3316725,2024,1979,1979,NA,NA,NA,NA,NA,NA,1979,"standing",19,1
"MPB-S10-174",49.37622,-114.3610565,2024,1978,1989,NA,NA,NA,NA,NA,NA,1989,"standing",26,1
"MPB-S10-175",49.3732575,-114.3648225,2024,1989,1989,NA,NA,NA,NA,NA,NA,1989,"standing",18,1
"MPB-S10-176",49.3682935,-114.3805665,2024,1981,1982,NA,NA,NA,NA,NA,NA,1982,"standing",38,1
"MPB-S10-177",49.371843,-114.3685105,2024,1981,1989,NA,NA,NA,NA,NA,NA,1989,"standing",19,1
"MPB-S10-178",49.370257,-114.3720215,2024,1981,1981,NA,NA,NA,NA,NA,NA,1981,"standing",19,1
"MPB-S10-180",49.3688865,-114.3855695,2024,1981,1981,NA,NA,NA,NA,NA,NA,1981,"standing",58,1
"MPB-S10-181",49.369308,-114.376251,2024,1981,1981,NA,NA,NA,NA,NA,NA,1981,"standing",29,1
"MPB-S10-182",49.3790315,-114.3601145,2024,1978,1978,NA,NA,NA,NA,NA,NA,1978,"standing",26,1
"MPB-S10-183",49.37456,-114.368677,2024,1981,1989,NA,NA,NA,NA,NA,NA,1989,"standing",12,1
"MPB-S10-184",49.3775005,-114.367716,2024,1979,1979,NA,NA,NA,NA,NA,NA,1979,"standing",11,1
"MPB-S10-187",49.402857,-114.403004,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",3,1
"MPB-S10-190",49.4126085,-114.405797,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",8,1
"MPB-S10-191",49.419889,-114.4055545,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",2,1
"MPB-S10-197",49.417402,-114.404977,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",5,1
"MPB-S10-198",49.4255815,-114.4082305,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",3,1
"MPB-S10-199",49.4100275,-114.4038,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",7,1
"MPB-S10-200",49.4069895,-114.403717,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",4,1
"MPB-S15-201",49.3966525,-114.4042675,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",9,1
"MPB-S10-245",49.430182,-114.404857,2024,1982,1982,NA,NA,2003,NA,NA,NA,2003,"burn",14,1
"MPB-S10-246",49.423487,-114.4049515,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",5,1
"MPB-S10-32",49.0110495,-113.646002,2024,1981,1981,NA,2003,2003,NA,2005,2005,2005,"harvest",1,1
"MPB-S10-329",48.9985645,-113.6530355,2024,NA,1984,NA,NA,NA,NA,NA,NA,1984,"standing",NA,NA
"MPB-S10-33",49.013329,-113.6420825,2024,1981,1981,NA,NA,2003,NA,NA,2005,2005,"harvest",8,1
"MPB-S10-34",49.017436,-113.634036,2024,1981,1981,NA,NA,NA,NA,NA,NA,1981,"standing",7,1
"MPB-S10-40",49.023975,-113.627322,2024,1980,1982,NA,NA,NA,NA,NA,NA,1982,"standing",6,1
"MPB-S10-41",49.025336,-113.624278,2024,1982,1982,NA,NA,2003,NA,NA,2004,2004,"harvest",11,1
"MPB-S10-42",49.027041,-113.620566,2024,1982,1982,NA,2003,2003,NA,2004,2004,2004,"harvest",13,1
"MPB-S10-700",49.40775,-114.3631915,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",17,1
"MPB-S10-710",49.353677,-114.32164,2024,1979,1989,NA,NA,NA,NA,NA,NA,1989,"standing",3,1
"MPB-S10-711",49.354075,-114.3165015,2024,1979,1979,NA,NA,NA,NA,NA,NA,1979,"standing",6,1
"MPB-S10-712",49.356355,-114.317634,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",5,1
"MPB-S10-713",49.372098,-114.334626,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",11,1
"MPB-S10-714",49.3699725,-114.33096,2024,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",16,1
"MPB-B10-84",49.02201,-113.58625,2023,NA,1984,2003,2003,2003,1997,2004,2004,2004,"harvest",NA,NA
"MPB-B10-85",49.02741,-113.5807,2023,NA,1984,2003,2003,2003,NA,NA,2004,2004,"harvest",NA,NA
"MPB-B5-200",49.08583,-113.9695,2023,NA,1982,NA,NA,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-B5-201",49.06635,-114.00308,2023,NA,1982,NA,NA,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-B5-202",49.06744,-114.00873,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B5-204",49.018489,-114.042056,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B5-206",49.01934,-114.04838,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B5-207",49.015792,-114.051051,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B5-208",49.01277,-114.05262,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B5-209",49.09147,-113.96665,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B5-211",49.09621,-113.9665,2023,NA,1982,NA,NA,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-B5-225",49.01324,-113.66664,2023,1980,1980,NA,NA,NA,NA,NA,NA,1980,"standing",6,1
"MPB-B5-228",49.100414,-113.943562,2023,NA,1982,2017,2017,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-B5-229",49.10086,-113.96761,2023,NA,1982,2017,2017,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-B5-233",49.13542,-114.03545,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B5-238",49.05258,-113.91872,2023,NA,1982,NA,NA,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-B5-240",49.066535,-113.885487,2023,NA,1982,2017,2017,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-B5-299",49.13241,-114.03049,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B5-626",49.09439,-113.96369,2023,NA,1982,NA,NA,2017,NA,NA,NA,2017,"burn",NA,NA
"MPB-B5-635",49.14024,-114.04219,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B10-636",49.02638,-113.59241,2023,1981,1981,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-B10-637",49.02593,-113.58633,2023,NA,1981,NA,2003,2003,NA,2004,2004,2004,"harvest",NA,NA
"MPB-B10-638",49.0177,-113.5871,2023,1980,1980,2003,2003,2003,2004,2004,2004,2004,"harvest",NA,NA
"MPB-B10-639",49.03051,-113.58215,2023,NA,1984,2003,2003,2003,NA,NA,2004,2004,"harvest",NA,NA
"MPB-B10-640",49.0305,-113.57767,2023,NA,1984,2003,2003,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-641",49.03373,-113.57095,2023,NA,1984,2003,2003,2003,1992,1992,2004,2004,"harvest",NA,NA
"MPB-B10-642",49.04291,-113.56539,2023,NA,1984,NA,2003,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-643",49.03616,-113.56512,2023,NA,1984,2003,2003,2003,NA,NA,2004,2004,"harvest",NA,NA
"MPB-B10-644",49.03189,-113.567074,2023,NA,1984,NA,NA,2003,NA,NA,1992,2003,"burn",NA,NA
"MPB-B10-645",49.02796,-113.56515,2023,NA,1980,2003,2003,2003,1998,1998,1998,2003,"burn",NA,NA
"MPB-B10-646",49.02936,-113.56916,2023,NA,1984,NA,NA,2003,NA,NA,1998,2003,"burn",NA,NA
"MPB-B10-827",49.50115,-114.39669,2023,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",NA,NA
"MPB-B10-829",49.5165,-114.39349,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B10-830",49.521485,-114.39115,2023,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-B10-831",49.52279,-114.38772,2023,1982,1982,NA,NA,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-851",49.502689,-114.40305,2023,NA,1984,NA,NA,NA,NA,NA,NA,1984,"standing",NA,NA
"MPB-B10-853",49.50721,-114.39511,2023,1984,1984,NA,NA,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-854",49.51462,-114.3993,2023,NA,1982,NA,2003,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-855",49.51771,-114.39975,2023,NA,1982,NA,NA,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-856",49.52011,-114.40211,2023,NA,1982,NA,NA,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-B10-857",49.52496,-114.38435,2023,1982,1982,NA,NA,2003,NA,NA,NA,2003,"burn",1,1
"MPB-H10-121",49.34761,-114.1403,2023,1982,1982,NA,NA,NA,NA,NA,2002,2002,"harvest",277,5
"MPB-H10-826",49.50009,-114.40123,2023,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",NA,NA
"MPB-H10-828",49.5124,-114.39496,2023,NA,1982,NA,NA,NA,NA,NA,NA,1982,"standing",NA,NA
"MPB-H10-832",49.345751,-114.14721,2023,1985,1985,NA,NA,NA,2003,2003,2003,2003,"harvest",279,5
"MPB-H10-833",49.34371,-114.145,2023,1982,1985,NA,NA,NA,2003,2003,2003,2003,"harvest",11,1
"MPB-H10-834",49.34456,-114.13808,2023,1982,1982,NA,NA,NA,2002,2002,2002,2002,"harvest",73,5
"MPB-H10-836",49.34388,-114.12857,2023,1982,1982,NA,NA,NA,2003,2003,2003,2003,"harvest",73,5
"MPB-H10-837",49.34411,-114.12348,2023,1982,1982,NA,NA,NA,NA,NA,2003,2003,"harvest",5,1
"MPB-H10-852",49.50484,-114.39901,2023,NA,1984,NA,2003,2003,NA,NA,NA,2003,"burn",NA,NA
"MPB-H10-858",49.34856,-114.14865,2023,1985,1985,NA,NA,NA,NA,2003,2003,2003,"harvest",326,5
"MPB-H10-862",49.34746,-114.127425,2023,1982,1982,NA,NA,NA,1994,2003,2003,2003,"harvest",64,5
"MPB-S10-216",49.06327,-113.78113,2023,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",2,1
"MPB-S10-217",49.05963,-113.78503,2023,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",2,1
"MPB-S10-647",49.06502,-113.78993,2023,1984,1984,NA,NA,NA,NA,NA,NA,1984,"standing",NA,NA
"MPB-S10-648",49.01508,-113.67311,2023,1980,1980,NA,NA,NA,NA,NA,NA,1980,"standing",10,1
"MPB-S10-649",49.012302,-113.671486,2023,1980,1980,NA,NA,NA,NA,NA,NA,1980,"standing",3,1
"MPB-S10-835",49.34271,-114.13517,2023,1982,1982,NA,NA,NA,NA,2002,2003,2003,"harvest",71,5
"MPB-S10-838",49.34145,-114.11549,2023,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",11,1
"MPB-S10-839",49.341869,-114.11052,2023,1982,1982,NA,NA,NA,NA,NA,1998,1998,"harvest",13,1
"MPB-S10-840",49.34134,-114.10097,2023,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",12,1
"MPB-S10-841",49.34034,-114.0972,2023,1982,1982,NA,NA,NA,NA,NA,NA,1982,"standing",86,5
"MPB-S10-860",49.35149,-114.15206,2023,1985,1985,NA,NA,NA,NA,NA,NA,1985,"standing",770,5
"MPB-S10-861",49.346441,-114.132561,2023,1982,1982,NA,NA,NA,NA,NA,2003,2003,"harvest",68,5
"MPB-S10-863",49.34626,-114.11797,2023,1982,1982,NA,NA,NA,NA,NA,1994,1994,"harvest",7,1
"MPB-S10-864",49.34721,-114.12318,2023,1982,1982,NA,NA,NA,1994,1994,1994,1994,"harvest",4,1
"MPB-S10-865",49.34592,-114.10529,2023,1982,1982,NA,NA,NA,NA,1998,1998,1998,"harvest",21,1
"MPB-S10-866",49.346,-114.11465,2023,1982,1982,NA,NA,NA,NA,NA,1998,1998,"harvest",11,1
